Zipcode,Latitude,Longitude,Supply_KW,Demand_Month_1_KWh,Demand_Month_2_KWh,Demand_Month_3_KWh,Demand_Month_4_KWh,Demand_Month_5_KWh,Demand_Month_6_KWh,Demand_Month_7_KWh,Demand_Month_8_KWh,Demand_Month_9_KWh,Demand_Month_10_KWh,Demand_Month_11_KWh,Demand_Month_12_KWh
93230,36.292229999999996,-119.622676,19052.698,884510.0,2042933.0,2448267.0,2902040.0,5625251.0,8049940.0,11031205.0,10363259.0,6925881.0,7372879.0,10961924.0,12481410.0
93234,36.191268,-120.090097,7881.297,657575.0,501564.0,920923.0,468230.0,735418.0,1160426.0,2003301.0,1469411.0,1026252.0,569585.0,519043.0,684118.0
93239,36.04719,-119.99021699999999,3810.846,207043.0,152249.0,149010.0,140654.0,215250.0,314764.0,391960.0,377615.0,273902.0,157808.0,143402.0,211548.0
93240,35.617546000000004,-118.452285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93241,35.254701000000004,-118.912678,1619.398,2807976.0,2222016.0,1236959.0,1190876.0,1842517.0,2855054.0,3591762.0,3411522.0,2362608.0,1357351.0,1228890.0,1867677.0
93242,36.442077000000005,-119.72773400000001,2045.3890000000006,723269.0,561445.0,547169.0,498280.0,670852.0,984080.0,5062224.0,1192240.0,846533.0,552947.0,575742.0,795505.0
93243,34.7727,-118.791975,1590.5639999999999,1865731.0,227066.0,227917.0,209458.0,225318.0,279513.0,344421.0,309646.0,226702.0,195505.0,211903.0,260541.0
93245,36.29227,-119.82946299999999,8508.654000000002,12099355.0,14316239.0,7479756.0,13426228.0,15933191.0,36835324.0,51983779.0,35664345.0,27013267.0,13154083.0,15979936.0,22577555.0
93249,35.621706,-119.88793899999999,3793.375,284051.0,205038.0,197664.0,181795.0,272929.0,438737.0,560548.0,541594.0,377079.0,222903.0,200937.0,317815.0
93250,35.665082,-119.19795800000001,1971.529,1134136.0,871141.0,839437.0,783060.0,1296683.0,2175293.0,2833189.0,2716862.0,8511014.0,7149474.0,900806.0,1229402.0
93251,35.335636,-119.758248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93252,34.710034,-119.243808,10.533,324477.0,250586.0,245313.0,218194.0,288139.0,406157.0,513688.0,494193.0,350676.0,242586.0,231853.0,319384.0
93254,34.966867,-119.810433,150.442,213097.0,167472.0,163275.0,142738.0,153401.0,207127.0,256051.0,241466.0,179116.0,147158.0,151301.0,193286.0
93256,35.960636,-119.312992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93262,36.615624,-118.697574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93263,35.492805,-119.28686100000002,17693.061999999998,2827958.0,2156444.0,2072691.0,1922339.0,3098706.0,5242533.0,6888955.0,6633885.0,4393644.0,2360344.0,12425059.0,11906921.0
93266,36.145394,-119.86728799999999,2864.0460000000007,255897.0,190136.0,175077.0,151676.0,220113.0,343292.0,440490.0,441951.0,316388.0,183555.0,183530.0,262721.0
93268,35.162393,-119.42511599999999,2261.115,2634089.0,4606177.0,1929644.0,1824393.0,2861853.0,4457119.0,5737198.0,5572947.0,3811047.0,2292071.0,8681028.0,9889581.0
93272,36.047414,-119.34430400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93274,36.178090999999995,-119.370752,1549.609,0.0,0.0,0.0,0.0,0.0,2096243.0,2701243.0,0.0,0.0,0.0,0.0,0.0
93276,35.299176,-119.358368,1444.2520000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93277,36.301334000000004,-119.37258600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93280,35.652242,-119.4464,16246.718999999996,2762363.0,14323480.0,30368137.0,40449743.0,57523622.0,73447050.0,82343501.0,76242564.0,37919292.0,31237145.0,29053751.0,22863119.0
93282,,,196.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93286,36.462709999999994,-119.09324199999999,3.195,294214.0,226446.0,208495.0,185548.0,2609123.0,1196541.0,1375141.0,1405961.0,1089331.0,749322.0,213996.0,759102.0
93287,35.757886,-118.988161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93291,36.391777000000005,-119.37284199999999,22.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93292,36.37559,-119.21168899999999,591.751,136204.0,99544.0,92000.0,83570.0,116133.0,179083.0,217358.0,209625.0,150914.0,95362.0,97507.0,142303.0
93301,35.384336,-119.02056200000001,3973.5850000000014,2405665.0,1866361.0,1980141.0,1923582.0,3076900.0,4968064.0,6345468.0,6060314.0,4034055.0,14613230.0,13618745.0,13442955.0
93304,35.339702,-119.023451,3245.061000000001,37802125.0,12525450.0,13582482.0,16435682.0,22628605.0,30167589.0,36622189.0,30338650.0,22229992.0,15488691.0,13791140.0,15911045.0
93305,35.389749,-118.98518600000001,2225.1620000000007,4998655.0,3667539.0,3769442.0,3581004.0,5676670.0,9177669.0,11889618.0,11402262.0,7689302.0,8702452.0,7590439.0,8802407.0
